#         Lambda    Transmission
        1443466.0000            0.754591
        1446076.0000            0.757151
        1448696.0000            0.768715
        1451325.0000            0.770594
        1453964.0000            0.784353
        1456612.0000            0.786992
        1459270.0000            0.798593
        1461938.0000            0.804320
        1464616.0000            0.812317
        1467303.0000            0.813238
        1470000.0000            0.823684
        1472707.0000            0.834649
        1475425.0000            0.847635
        1478152.0000            0.859012
        1480889.0000            0.868908
        1483637.0000            0.879965
        1486394.0000            0.891054
        1489162.0000            0.898551
        1491941.0000            0.900832
        1494729.0000            0.912081
        1497528.0000            0.923489
        1500338.0000            0.933271
        1503158.0000            0.942213
        1505989.0000            0.951861
        1508830.0000            0.961771
        1511683.0000            0.972094
        1514546.0000            0.981395
        1517420.0000            0.994476
        1520304.0000            0.999749
        1523200.0000            0.999151
        1526107.0000            0.997548
        1529025.0000            0.995700
        1531954.0000            0.995062
        1534895.0000            0.993676
        1537846.0000            1.000000
        1540809.0000            0.998353
        1543784.0000            0.997502
        1546770.0000            0.995063
        1549768.0000            0.993275
        1552777.0000            0.992945
        1555798.0000            0.980701
        1558831.0000            0.977739
        1561875.0000            0.975756
        1564932.0000            0.965544
        1568000.0000            0.963634
        1571081.0000            0.960770
        1574173.0000            0.954258
        1577278.0000            0.957757
        1580396.0000            0.955337
        1583525.0000            0.952607
        1586667.0000            0.950778
        1589821.0000            0.959710
        1592988.0000            0.957048
        1596168.0000            0.954059
        1599360.0000            0.950879
        1602565.0000            0.949385
        1605783.0000            0.947378
        1609014.0000            0.946668
        1612258.0000            0.946953
        1615515.0000            0.947891
        1618786.0000            0.955765
        1622069.0000            0.953500
        1625366.0000            0.954159
        1628676.0000            0.956026
        1632000.0000            0.956026
        1635338.0000            0.964962
        1638689.0000            0.965461
        1642054.0000            0.965031
        1645432.0000            0.963797
        1648825.0000            0.953418
        1652232.0000            0.951826
        1655652.0000            0.949067
        1659087.0000            0.944964
        1662537.0000            0.931234
        1666000.0000            0.926587
        1669478.0000            0.920868
        1672971.0000            0.913580
        1676478.0000            0.898548
        1680000.0000            0.880514
        1683537.0000            0.861504
        1687089.0000            0.852693
        1690656.0000            0.833905
        1694238.0000            0.820430
        1697835.0000            0.797571
        1701447.0000            0.784459
        1705075.0000            0.759877
        1708718.0000            0.740617
        1712377.0000            0.711354
        1716052.0000            0.684708
        1719742.0000            0.657276
        1723449.0000            0.629894
        1727171.0000            0.610668
        1730909.0000            0.583345
        1734664.0000            0.555174
        1738435.0000            0.527646
        1742223.0000            0.496900
        1746026.0000            0.471499
        1749847.0000            0.445906
        1753684.0000            0.419362
        1757539.0000            0.393300
        1761410.0000            0.368825
        1765298.0000            0.344754
        1769204.0000            0.325955
        1773127.0000            0.303600
        1777067.0000            0.282585
        1781025.0000            0.265238
        1785000.0000            0.250196
        1788994.0000            0.234194
        1793005.0000            0.219211
        1797034.0000            0.203229
        1801081.0000            0.189903
        1805147.0000            0.177366
        1809231.0000            0.166020
        1813334.0000            0.153160
        1817455.0000            0.143091
        1821595.0000            0.133721
        1825754.0000            0.125481
        1829932.0000            0.116889
        1834129.0000            0.109056
        1838345.0000            0.102276
        1842581.0000            0.095799
        1846836.0000            0.088747
        1851111.0000            0.083556
        1855406.0000            0.078206
        1859721.0000            0.072986
        1864056.0000            0.068567
        1868412.0000            0.064252
        1872787.0000            0.059304
        1877183.0000            0.054956
        1881600.0000            0.051705
        1886038.0000            0.047743
        1890497.0000            0.044662
        1894977.0000            0.041159
        1899478.0000            0.038585
        1904000.0000            0.035677
        1908544.0000            0.033044
        1913110.0000            0.030634
        1917698.0000            0.028746
        1922308.0000            0.026742
        1926940.0000            0.024630
        1931595.0000            0.022829
        1936271.0000            0.020896
        1940971.0000            0.019406
        1945694.0000            0.018199
        1950439.0000            0.016901
        1955208.0000            0.016001
        1960000.0000            0.014935
        1964816.0000            0.013881
        1969655.0000            0.013061
        1974519.0000            0.012065
        1979406.0000            0.011210
        1984318.0000            0.010450
        1989254.0000            0.009667
        1994215.0000            0.009083
        1999200.0000            0.008501
