#         Lambda    Transmission
         180050.0000            0.000237
         180680.0000            0.000231
         181310.0000            0.000173
         181940.0000            0.000012
         182580.0000            0.000229
         183230.0000            0.000228
         183880.0000            0.000237
         184530.0000            0.000241
         185190.0000            0.000245
         185860.0000            0.000573
         186520.0000            0.000595
         187200.0000            0.000401
         187880.0000            0.000135
         188560.0000            0.000275
         189250.0000            0.000277
         189940.0000            0.000185
         190640.0000            0.000190
         191340.0000            0.000644
         192050.0000            0.000764
         192770.0000            0.000557
         193480.0000            0.000657
         194210.0000            0.000736
         194940.0000            0.001573
         195670.0000            0.002129
         196420.0000            0.003627
         197160.0000            0.004662
         197920.0000            0.006710
         198670.0000            0.008835
         199440.0000            0.012914
         200210.0000            0.014500
         200980.0000            0.019532
         201770.0000            0.024468
         202550.0000            0.031953
         203350.0000            0.050973
         204150.0000            0.076447
         204960.0000            0.120929
         205770.0000            0.177656
         206590.0000            0.252554
         207420.0000            0.377777
         208250.0000            0.528659
         209090.0000            0.735924
         209930.0000            0.813463
         210790.0000            0.857335
         211650.0000            0.882477
         212520.0000            0.907091
         213390.0000            0.932828
         214270.0000            0.957009
         215160.0000            0.973634
         216060.0000            0.984957
         216960.0000            0.991663
         217870.0000            0.997749
         218790.0000            1.000000
         219720.0000            0.998522
         220650.0000            0.988564
         221600.0000            0.970058
         222550.0000            0.935205
         223510.0000            0.926258
         224480.0000            0.899796
         225450.0000            0.880798
         226440.0000            0.865925
         227430.0000            0.856114
         228430.0000            0.857699
         229440.0000            0.856779
         230460.0000            0.850509
         231490.0000            0.834520
         232530.0000            0.815473
         233580.0000            0.795473
         234630.0000            0.775875
         235700.0000            0.752764
         236780.0000            0.746808
         237860.0000            0.777653
         238960.0000            0.798943
         240060.0000            0.839877
         241180.0000            0.876265
         242310.0000            0.911819
         243450.0000            0.929431
         244590.0000            0.924876
         245750.0000            0.917978
         246920.0000            0.897806
         248100.0000            0.879948
         249300.0000            0.859096
         250500.0000            0.833534
         251720.0000            0.803216
         252950.0000            0.770890
         254190.0000            0.736609
         255440.0000            0.695704
         256700.0000            0.649479
         257980.0000            0.602661
         259270.0000            0.558191
         260570.0000            0.519174
         261890.0000            0.486209
         263220.0000            0.455974
         264560.0000            0.428693
         265920.0000            0.406171
         267290.0000            0.381986
         268670.0000            0.354378
         270070.0000            0.326682
         271490.0000            0.296838
         272920.0000            0.261178
         274360.0000            0.225878
         275820.0000            0.195445
         277290.0000            0.170226
         278780.0000            0.148445
         280290.0000            0.130555
         281810.0000            0.117945
         283350.0000            0.107676
         284910.0000            0.097827
         286490.0000            0.088869
         288080.0000            0.080512
         289690.0000            0.072124
         291310.0000            0.060997
         292960.0000            0.051086
         294620.0000            0.042525
         296310.0000            0.035384
         298010.0000            0.029764
         299730.0000            0.025596
         301480.0000            0.021807
         303240.0000            0.019190
         305020.0000            0.016606
         306830.0000            0.013779
         308650.0000            0.011002
         310500.0000            0.008476
         312370.0000            0.006381
         314270.0000            0.004758
         316180.0000            0.003471
         318120.0000            0.002394
         320090.0000            0.001482
         322070.0000            0.000727
